time_s,A_mol_m3,B_mol_m3,temperature_K
0.0,1000.6094341595089,0.0,330.0065999005192
2.0,587.2933713344999,397.5966171870556,332.0245642682786
4.0,345.1046243429804,636.1795684000114,333.17266687135975
6.0,200.93505090838119,776.2408094241276,333.81929526411517
8.0,111.00235052839015,857.7915775781578,334.21378383953027
10.0,63.59827065781299,902.6087768945557,334.319952613501
12.0,38.36292154254292,929.553247833922,334.4203818776609
14.0,21.294429075833932,947.8421942219014,334.4371675667205
16.0,12.582506284491325,954.7482768184876,334.44516737124707
18.0,5.553819986730445,957.7595979497078,334.3884466292322
20.0,5.937481703226036,961.0243157841195,334.41101759144965
22.0,3.961477010012673,963.1665009108101,334.34163952058435
24.0,1.517714634693372,966.9864330696204,334.2574081235197
26.0,3.052810444100137,966.844986605287,334.22275549318095
28.0,1.3951268912558719,968.268212211305,334.2136896520383
30.0,0.0,966.2211713519416,334.1803785217208
32.0,0.8904959203910141,967.5013454973387,334.1662714638843
34.0,0.0,968.4980458732473,334.1452714933534
36.0,1.8078450881356272,966.6642714020741,334.0222184516789
38.0,0.0,968.2173399537581,333.93252583557774
40.0,0.0,965.9919552833823,333.8511980817844
42.0,0.0,966.5966370229808,333.87667240265534
44.0,2.450754383453276,966.5632751883311,333.79827289641554
46.0,0.0,964.9373859770568,333.76475875232876
48.0,0.0,968.3043475685784,333.71395034906914
50.0,0.0,966.3923709759894,333.68371444625507
52.0,1.0652531252273232,967.3566109003688,333.6760685111915
54.0,0.7312555565311839,968.2933745397174,333.6054719371655
56.0,0.8256779747683779,968.2250931780633,333.55318746413855
58.0,0.8617652332737583,968.6628876329861,333.4845716890306
60.0,4.283366597799094,967.1351965780287,333.423598452135
62.0,0.0,966.4855999569187,333.4179442862054
64.0,0.0,967.1727769788143,333.3901057095755
66.0,0.0,963.9575542799053,333.40442801227124
68.0,1.2319669150466035,964.4380038528319,333.31544879023426
70.0,2.2579492682122626,964.6868328491244,333.3016469976111
72.0,0.0,965.3377403189024,333.21827839104674
74.0,0.0,968.1317835298023,333.1592640176662
76.0,0.0,965.5212776055636,333.1278710252318
78.0,1.3011861084479506,966.5759109797948,333.0975316349177
80.0,1.4865086524206206,969.9306928989358,333.14605271863746
82.0,1.086308717121397,966.6197084865039,333.0209082505179
84.0,0.0,968.8072676385426,333.03449152197925
86.0,0.46432270730875713,965.4650011840362,332.946466614831
88.0,0.23337165412242272,966.9213614528259,332.966144674356
90.0,0.4373772146353888,965.4321924729237,332.9148094772466
92.0,1.7428575684137724,966.6541704393204,332.8640406872707
94.0,0.4471911048799214,969.0128528710534,332.8334062965707
96.0,1.357827130422342,963.8775957527062,332.7812804811643
98.0,0.13515814151042055,968.2010838878714,332.7810019865939
100.0,0.5782387988580587,967.8077078064644,332.7210620279226
102.0,1.2625764525137395,966.1439366910265,332.6654263660084
104.0,0.0,964.4401208940116,332.6317260604863
106.0,0.0,967.4764956184373,332.6434935187549
108.0,0.0,966.2732511849849,332.65431781466145
110.0,0.0,967.7975890258657,332.5807470393178
112.0,0.0,967.3759408942271,332.5417589262079
114.0,2.989882622499923,970.5357943858411,332.5236278350692
116.0,0.0,966.8535253482667,332.5243279509949
118.0,1.9365567091923543,965.2852416179766,332.46217981285383
120.0,0.0,967.6907878731366,332.4140723190251
